iter	Logloss
0	0.6430297978
1	0.6131081969
2	0.5866955765
3	0.5652446287
4	0.550036076
5	0.5401408895
6	0.5284987634
7	0.5160649576
8	0.5076466931
9	0.5018970363
10	0.4977337266
11	0.4934152582
12	0.4896686461
13	0.4881236484
14	0.4865867252
15	0.4862692471
16	0.4844875279
17	0.48393158
18	0.4823357332
19	0.4803590942
20	0.4799388026
21	0.4799166524
22	0.4792227635
23	0.4778957608
24	0.4768479634
25	0.4761433942
26	0.475108218
27	0.4738910483
28	0.4735609265
29	0.4731696016
30	0.4723135633
31	0.4716122757
32	0.4708587267
33	0.4702489325
34	0.4696101763
35	0.4692279153
36	0.4690914491
37	0.4689805156
38	0.4685584884
39	0.4683342464
40	0.4675089608
41	0.4673399456
42	0.4670986064
43	0.4669648983
44	0.4669241608
45	0.4662824373
46	0.4661080837
47	0.46599898
48	0.4658183961
49	0.4657758089
50	0.4657692106
51	0.4656682436
52	0.4655297633
53	0.4653060644
54	0.4653024673
55	0.4651345425
56	0.4648334842
57	0.464125295
58	0.4634081591
59	0.4630280112
60	0.4629649599
61	0.4626664313
62	0.4623057924
63	0.4619245659
64	0.4619245616
65	0.4613591147
66	0.4613590531
67	0.460860589
68	0.4597057949
69	0.4591440666
70	0.4589455061
71	0.4589359925
72	0.4587129775
73	0.4586596588
74	0.4582011442
75	0.4577001099
76	0.4573910909
77	0.4570155153
78	0.456311698
79	0.4560688329
80	0.4560659315
81	0.4557366852
82	0.455277498
83	0.4548383166
84	0.4543991697
85	0.4540857945
86	0.4531929197
87	0.4529777491
88	0.4528606337
89	0.4528422443
90	0.4524032366
91	0.4515874724
92	0.4515832941
93	0.4512364241
94	0.4509392179
95	0.4505110252
96	0.4501185729
97	0.4501079666
98	0.4497410783
99	0.4492116348
100	0.4491597278
101	0.449151405
102	0.4482815662
103	0.4481890547
104	0.4481788045
105	0.4481755845
106	0.4480254904
107	0.4479213244
108	0.4479054471
109	0.4474816056
110	0.4469102297
111	0.4465809265
112	0.4460646756
113	0.44592688
114	0.4455470425
115	0.4449551223
116	0.444941602
117	0.444731297
118	0.4439503818
119	0.4437885164
120	0.442959663
121	0.4425047269
122	0.4419888552
123	0.4419028762
124	0.44158579
125	0.4415541529
126	0.4415436217
127	0.4408791577
128	0.4405171605
129	0.4402026352
130	0.4401919363
131	0.439913527
132	0.439903868
133	0.4398431681
134	0.4398339097
135	0.4396040963
136	0.4391664762
137	0.4390860083
138	0.4389377501
139	0.4383860222
140	0.4378550258
141	0.437555114
142	0.4375447829
143	0.4375304862
144	0.4374126663
145	0.4372602106
146	0.4371193235
147	0.4368110846
148	0.4366431365
149	0.4365303615
150	0.4362614737
151	0.4356999992
152	0.4351932704
153	0.4351516603
154	0.4349168412
155	0.4349032275
156	0.4347001674
157	0.4345272844
158	0.4344646946
159	0.4343955727
160	0.4338488751
161	0.4333390757
162	0.4332042541
163	0.4328153005
164	0.4326701951
165	0.4326418894
166	0.4325791228
167	0.4322236386
168	0.4320421137
169	0.4318193382
170	0.4313910965
171	0.4312099984
172	0.4306348866
173	0.4303171179
174	0.4302990069
175	0.4301773825
176	0.4297951904
177	0.4295748138
178	0.4293958157
179	0.4292535431
180	0.4291556745
181	0.429111983
182	0.4289675889
183	0.4286029844
184	0.4285619365
185	0.4284976407
